pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Signaling by Rho GTPases,Reactome,23,RHOQ;ARHGAP6;ARHGAP32;ARHGAP24;NDEL1;RHOBTB1;RHPN2;FGD4;KDM4C;ARHGAP31;SRGAP1;PPP1R12A;ARHGAP12;BTK;PAK1;ARHGEF12;NCF2;ARHGEF11;CLIP1;ABI2;ARHGEF6;TIAM2;ARPC2,430 (435),0.346,1,1,HMDB01201,24 (27),0.293,1,0.334,0.686
PTEN Regulation,Reactome,4,MKRN1;RRAGD;AGO4;AKT3,96 (96),0.692,1,1,HMDB01201,11 (11),0.147,0.579,0.334,0.686
Wnt Signaling,Wikipathways,9,WNT10A;PRKCA;CAMK2A;CAMK2D;RYK;PLCB4;PPP3CC;CCND2;GPC4,114 (114),0.102,0.714,0,,1 (1),1,1,0.336,0.69
Inactivation_ recovery and regulation of the phototransduction cascade,Reactome,2,PDE6A;PRKCA,34 (34),0.497,1,1,HMDB01201,16 (18),0.206,0.755,0.336,0.69
TNF signaling,Reactome,4,SMPD3;BIRC2;CYLD;TAX1BP1,37 (37),0.103,0.714,0,,3 (3),1,1,0.337,0.691
purine nucleotides degradation,HumanCyc,1,XDH,12 (12),0.45,1,1,HMDB01397,18 (19),0.229,0.82,0.337,0.691
Regulation of PTEN gene transcription,Reactome,1,RRAGD,62 (62),0.955,1,1,HMDB01201,8 (8),0.109,0.479,0.339,0.695
Nitric oxide stimulates guanylate cyclase,Reactome,1,PDE1A,25 (25),0.712,1,1,HMDB01397,11 (11),0.147,0.579,0.341,0.697
Measles - Homo sapiens (human),KEGG,10,JAK1;TNFSF10;CD28;PIK3CA;EIF2AK3;OAS3;AKT3;STAT1;RCHY1;CCND2,131 (132),0.105,0.723,0,,1 (1),1,1,0.341,0.697
Sialic acid metabolism,Reactome,2,ST6GAL1;ST8SIA6,33 (33),0.481,1,1,HMDB00295,17 (27),0.218,0.788,0.341,0.697
Circadian Clock,Reactome,4,NR1D1;NCOR1;NAMPT;CLOCK,35 (35),0.088,0.697,0,,0 (2),1,1,0.088,0.697
O-linked glycosylation of mucins,Reactome,1,ST6GAL1,67 (67),0.965,1,1,HMDB00295,8 (8),0.109,0.479,0.342,0.698
Neurotransmitter receptors and postsynaptic signal transmission,Reactome,8,BRAF;MDM2;PRKCA;CAMK2A;CAMK2D;RPS6KA2;RPS6KA3;GNG2,152 (153),0.46,1,1,HMDB01201,18 (19),0.229,0.82,0.342,0.698
JAK STAT MolecularVariation 2,INOH,5,IL5RA;JAK1;PRLR;STAT1;LEPR,50 (50),0.094,0.698,0,,0 (0),1,1,0.094,0.698
Intestinal infectious diseases,Reactome,1,PDZD3,2 (2),0.0948,0.698,0,,0 (0),1,1,0.0948,0.698
Nef mediated downregulation of CD28 cell surface expression,Reactome,1,CD28,2 (2),0.0948,0.698,0,,0 (0),1,1,0.0948,0.698
Regulation of TP53 Expression,Reactome,1,PRDM1,2 (2),0.0948,0.698,0,,0 (0),1,1,0.0948,0.698
The IPAF inflammasome,Reactome,1,CASP1,2 (2),0.0948,0.698,0,,0 (0),1,1,0.0948,0.698
SDK interactions,Reactome,1,SDK2,2 (2),0.0948,0.698,0,,0 (0),1,1,0.0948,0.698
Transport of connexons to the plasma membrane,Reactome,1,GJA1,2 (2),0.0948,0.698,0,,0 (0),1,1,0.0948,0.698
Regulation of necroptotic cell death,Reactome,2,CFLAR;TNFSF10,11 (11),0.0969,0.698,0,,0 (1),1,1,0.0969,0.698
Dimerization of procaspase-8,Reactome,2,CFLAR;TNFSF10,11 (11),0.0969,0.698,0,,0 (0),1,1,0.0969,0.698
Regulation by c-FLIP,Reactome,2,CFLAR;TNFSF10,11 (11),0.0969,0.698,0,,0 (0),1,1,0.0969,0.698
Signaling mediated by p38-gamma and p38-delta,PID,2,MAPK13;MAPK12,11 (12),0.0969,0.698,0,,0 (0),1,1,0.0969,0.698
CASP8 activity is inhibited,Reactome,2,CFLAR;TNFSF10,11 (11),0.0969,0.698,0,,0 (1),1,1,0.0969,0.698
regulation of eif2,BioCarta,2,EIF2AK3;EIF5,11 (11),0.0969,0.698,0,,0 (0),1,1,0.0969,0.698
cxcr4 signaling pathway,BioCarta,2,PIK3CA;CXCR4,11 (11),0.0969,0.698,0,,0 (0),1,1,0.0969,0.698
il22 soluble receptor signaling pathway,BioCarta,2,JAK1;STAT1,11 (11),0.0969,0.698,0,,0 (0),1,1,0.0969,0.698
insulin signaling pathway,BioCarta,2,PIK3CA;INSR,11 (11),0.0969,0.698,0,,0 (0),1,1,0.0969,0.698
POU5F1 (OCT4)_ SOX2_ NANOG repress genes related to differentiation,Reactome,2,POU6F1;HHEX,11 (11),0.0969,0.698,0,,0 (0),1,1,0.0969,0.698
NRF2-ARE regulation,Wikipathways,3,PIK3CA;INSR;PRKCA,23 (23),0.0983,0.698,0,,0 (0),1,1,0.0983,0.698
RANKL,NetPath,3,ATP6V1E1;CYLD;SQSTM1,23 (23),0.0983,0.698,0,,0 (0),1,1,0.0983,0.698
caspase cascade in apoptosis,BioCarta,3,BIRC2;CASP1;CASP3,23 (23),0.0983,0.698,0,,0 (0),1,1,0.0983,0.698
Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling,Wikipathways,3,MAPK11;MAPK13;MAPK12,23 (23),0.0983,0.698,0,,0 (0),1,1,0.0983,0.698
IL11,NetPath,3,STAT1;PRKCA;JAK1,23 (23),0.0983,0.698,0,,0 (1),1,1,0.0983,0.698
Wnt signaling pathway - Homo sapiens (human),KEGG,11,WNT10A;TBL1XR1;WISP1;PRKCA;CAMK2A;CAMK2D;RYK;PLCB4;PPP3CC;CCND2;GPC4,148 (149),0.106,0.73,0,,1 (1),1,1,0.343,0.699
TP53 Regulates Metabolic Genes,Reactome,5,GLS;RRAGD;PRKAG2;AGO4;AKT3,86 (86),0.407,1,1,HMDB01201,21 (25),0.262,0.923,0.345,0.702
Amino acid and oligopeptide SLC transporters,Reactome,1,SLC3A2,52 (52),0.925,1,2,HMDB00158;HMDB00159,41 (50),0.115,0.504,0.345,0.702
Tetrahydrobiopterin (BH4) synthesis_ recycling_ salvage and regulation,Reactome,1,PTS,10 (10),0.392,1,1,HMDB00159,22 (27),0.273,0.957,0.346,0.703
Omega-3 fatty acid metabolism,EHMN,1,EHHADH,16 (16),0.549,1,1,HMDB01388,15 (16),0.195,0.719,0.346,0.703
Nicotinate metabolism,Reactome,3,NADK;PTGIS;NAMPT,24 (25),0.108,0.739,0,,39 (52),1,1,0.349,0.703
ER-Phagosome pathway,Reactome,3,TAP1;LY96;BTK,24 (24),0.108,0.739,0,,5 (11),1,1,0.349,0.703
Glutamate Neurotransmitter Release Cycle,Reactome,3,GLS;UNC13B;STXBP1,24 (24),0.108,0.739,0,,7 (8),1,1,0.349,0.703
Physiological and Pathological Hypertrophy of the Heart,Wikipathways,3,MAPK11;CAMK2D;MYEF2,24 (24),0.108,0.739,0,,2 (2),1,1,0.349,0.703
Olfactory transduction - Homo sapiens (human),KEGG,3,PDE1A;CAMK2D;CAMK2A,444 (447),1,1,1,HMDB01397,8 (8),0.109,0.479,0.351,0.703
Arachidonate Epoxygenase - Epoxide Hydrolase,Wikipathways,0,,7 (7),1,1,1,HMDB01043,8 (9),0.109,0.479,0.351,0.703
thyroid hormone metabolism II (via conjugation and/or degradation),HumanCyc,0,,7 (7),1,1,1,HMDB00295,8 (22),0.109,0.479,0.351,0.703
pyrimidine ribonucleosides salvage I,HumanCyc,0,,4 (4),1,1,1,HMDB00288,8 (9),0.109,0.479,0.351,0.703
Excitatory Neural Signalling Through 5-HTR 4 and Serotonin,SMPDB,0,,8 (8),1,1,1,HMDB01201,8 (8),0.109,0.479,0.351,0.703
Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE),Reactome,0,,9 (9),1,1,1,HMDB01043,8 (11),0.109,0.479,0.351,0.703
dolichol and dolichyl phosphate biosynthesis,HumanCyc,0,,3 (3),1,1,1,HMDB01546,8 (10),0.109,0.479,0.351,0.703
5-Phosphoribose 1-diphosphate biosynthesis,Reactome,0,,3 (3),1,1,1,HMDB00618#HMDB01548,8 (8),0.109,0.479,0.351,0.703
Artemether Metabolism Pathway,SMPDB,0,,4 (4),1,1,1,HMDB00295,8 (9),0.109,0.479,0.351,0.703
Excitatory Neural Signalling Through 5-HTR 7 and  Serotonin ,SMPDB,0,,8 (8),1,1,1,HMDB01201,8 (8),0.109,0.479,0.351,0.703
Excitatory Neural Signalling Through 5-HTR 6 and Serotonin ,SMPDB,0,,8 (8),1,1,1,HMDB01201,8 (8),0.109,0.479,0.351,0.703
Intracellular Signalling Through Histamine H2 Receptor and Histamine,SMPDB,0,,8 (8),1,1,1,HMDB01201,8 (8),0.109,0.479,0.351,0.703
Histone Modifications,Wikipathways,6,KMT2E;EZH1;KMT2A;KMT2C;SETD7;SETBP1,66 (66),0.1,0.703,0,,0 (0),1,1,0.1,0.703
MAP2K and MAPK activation,Reactome,4,BRAF;RAP1B;PEBP1;APBB1IP,38 (38),0.111,0.747,0,,6 (8),1,1,0.355,0.709
Ovarian tumor domain proteases,Reactome,4,TRIM25;VCPIP1;RNF128;TNIP1,38 (38),0.111,0.747,0,,3 (5),1,1,0.355,0.709
Signaling by moderate kinase activity BRAF mutants,Reactome,4,BRAF;RAP1B;PEBP1;APBB1IP,38 (38),0.111,0.747,0,,6 (8),1,1,0.355,0.709
Paradoxical activation of RAF signaling by kinase inactive BRAF,Reactome,4,BRAF;RAP1B;PEBP1;APBB1IP,38 (38),0.111,0.747,0,,6 (9),1,1,0.355,0.709
Etoposide Action Pathway,SMPDB,1,PDIA4,19 (19),0.612,1,1,HMDB00295,14 (14),0.183,0.686,0.357,0.711
Etoposide Metabolism Pathway,SMPDB,1,PDIA4,19 (19),0.612,1,1,HMDB00295,14 (14),0.183,0.686,0.357,0.711
Vitamin B5 - CoA biosynthesis from pantothenate,EHMN,2,ENPP2;ENPP1,31 (31),0.448,1,1,HMDB01546,20 (21),0.251,0.889,0.359,0.711
pyrimidine deoxyribonucleotide phosphorylation,HumanCyc,2,CMPK2;CMPK1,12 (12),0.113,0.747,0,,8 (8),1,1,0.359,0.711
Hyaluronan metabolism,Reactome,2,HEXA;LYVE1,12 (12),0.113,0.747,0,,5 (6),1,1,0.359,0.711
Stabilization of p53,Reactome,2,MDM2;MDM4,12 (12),0.113,0.747,0,,2 (2),1,1,0.359,0.711
Eicosanoids,Reactome,2,PTGIS;TBXAS1,12 (12),0.113,0.747,0,,9 (13),1,1,0.359,0.711
Ethanol oxidation,Reactome,2,ALDH1A1;ACSS1,12 (12),0.113,0.747,0,,14 (15),1,1,0.359,0.711
Nicotinamide salvaging,Reactome,2,PTGIS;NAMPT,12 (12),0.113,0.747,0,,30 (38),1,1,0.359,0.711
Oxidation of Branched Chain Fatty Acids,SMPDB,2,PHYH;ABCD2,12 (12),0.113,0.747,0,,25 (25),1,1,0.359,0.711
Activation of anterior HOX genes in hindbrain development during early embryogenesis,Wikipathways,2,HOXB3;HOXB4,12 (12),0.113,0.747,0,,1 (1),1,1,0.359,0.711
Notch signaling pathway,PID,5,APH1B;MAML2;NCOR1;RAB11A;DNER,53 (54),0.113,0.751,0,,1 (1),1,1,0.36,0.714
IL23-mediated signaling events,PID,4,PIK3CA;ITGA3;STAT1;IL18,37 (37),0.103,0.714,0,,0 (1),1,1,0.103,0.714
JAK STAT MolecularVariation 1,INOH,8,IL10;JAK1;TNFSF10;IL5RA;LEPR;PRLR;STAT1;IL18,98 (98),0.103,0.716,0,,0 (3),1,1,0.103,0.716
Binding and Uptake of Ligands by Scavenger Receptors,Wikipathways,0,,0 (0),1,1,1,HMDB00658#HMDB10370,15 (35),0.195,0.719,0.195,0.719
Abacavir transport and metabolism,Wikipathways,0,,0 (0),1,1,1,HMDB00295,15 (24),0.195,0.719,0.195,0.719
O-linked glycosylation,Wikipathways,0,,0 (0),1,1,1,HMDB00295,15 (18),0.195,0.719,0.195,0.719
ABC transporters - Homo sapiens (human),KEGG,4,ABCD2;TAP1;ABCA6;ABCA5,44 (44),0.164,0.867,1,HMDB00159,85 (129),0.713,1,0.368,0.727
HIV Infection,Reactome,8,CXCR4;AP1S2;PACS1;CD28;GTF2A1;CHMP5;B2M;TAF7,195 (197),0.737,1,1,HMDB01201,12 (13),0.159,0.616,0.368,0.728
Vitamin digestion and absorption - Homo sapiens (human),KEGG,2,SLC46A1;SLC23A1,24 (24),0.326,1,1,HMDB00658#HMDB10370,31 (39),0.362,1,0.37,0.732
TRAIL signaling pathway,PID,3,PIK3CA;CFLAR;TNFSF10,25 (25),0.119,0.779,0,,1 (1),1,1,0.372,0.734
regulation of eif-4e and p70s6 kinase,BioCarta,3,MKNK1;PRKCA;PIK3CA,25 (25),0.119,0.779,0,,2 (2),1,1,0.372,0.734
stathmin and breast cancer resistance to antimicrotubule agents,BioCarta,3,CAMK2D;MAPK13;CAMK2A,25 (25),0.119,0.779,0,,2 (2),1,1,0.372,0.734
tumor suppressor arf inhibits ribosomal biogenesis,BioCarta,3,MDM2;PIK3CA;POLR1A,24 (24),0.108,0.739,0,,0 (0),1,1,0.108,0.739
IL1 and megakaryocytes in obesity,Wikipathways,3,PIK3CA;NLRP3;IL18,24 (24),0.108,0.739,0,,0 (0),1,1,0.108,0.739
Acetylcholine Synthesis,Wikipathways,0,,7 (7),1,1,1,HMDB08048#HMDB08036#HMDB08038,9 (9),0.122,0.512,0.378,0.741
HDL assembly,Reactome,0,,8 (8),1,1,1,HMDB00658#HMDB10370,9 (10),0.122,0.512,0.378,0.741
Pentose Phosphate Metabolism,Wikipathways,0,,7 (7),1,1,1,HMDB00618#HMDB01548,9 (9),0.122,0.512,0.378,0.741
&gamma;-linolenate biosynthesis,HumanCyc,0,,14 (14),1,1,1,HMDB00673,9 (9),0.122,0.512,0.378,0.741
Plasmalogen biosynthesis,Reactome,0,,2 (2),1,1,1,HMDB00220,9 (12),0.122,0.512,0.378,0.741
Intracellular Signalling Through Prostacyclin Receptor and Prostacyclin,SMPDB,0,,8 (8),1,1,1,HMDB01201,9 (9),0.122,0.512,0.378,0.741
nicotine degradation III,HumanCyc,0,,10 (10),1,1,1,HMDB00295,9 (23),0.122,0.512,0.378,0.741
MicroRNAs in cardiomyocyte hypertrophy,Wikipathways,8,CISH;MIR15B;PIK3CA;PIK3CG;CAMK2D;MYEF2;FGFR2;IGF1R,102 (102),0.122,0.792,0,,3 (3),1,1,0.38,0.743
Apoptotic cleavage of cellular proteins,Reactome,4,SATB1;CASP3;BMX;BIRC2,38 (38),0.111,0.747,0,,0 (0),1,1,0.111,0.747
miR-targeted genes in lymphocytes - TarBase,Wikipathways,30,RAB23;DOCK5;GEMIN7;IFRD1;ATP6V0A1;MAPK12;SLC12A2;SLC12A4;MIR15B;HACD3;DHX40;RAB30;ABHD10;BACH1;KCNN4;LAMC1;FNDC3A;UNC93B1;FAR1;SERP1;STX7;CLOCK;SRPRB;GFPT1;PDCD4;DDX5;ARF4;MSI2;NRP1;AMIGO2,489 (489),0.111,0.747,0,,0 (0),1,1,0.111,0.747
Surfactant metabolism,Reactome,1,ADORA2A,26 (26),0.726,1,1,HMDB08048#HMDB08036#HMDB08038,13 (14),0.171,0.653,0.383,0.75
Respiratory electron transport_ ATP synthesis by chemiosmotic coupling_ and heat production by uncoupling proteins.,Wikipathways,0,,0 (0),1,1,1,HMDB01201,16 (22),0.206,0.755,0.206,0.755
Alcoholism - Homo sapiens (human),KEGG,5,BRAF;GNG2;CREB3L2;ATF4;ADORA2A,180 (180),0.941,1,1,HMDB00158,10 (10),0.134,0.545,0.388,0.757
HIV Life Cycle,Reactome,4,CXCR4;GTF2A1;CHMP5;TAF7,154 (156),0.945,1,1,HMDB01201,10 (11),0.134,0.545,0.389,0.757
Pathogenic Escherichia coli infection - Homo sapiens (human),KEGG,5,PRKCA;LY96;TLR5;TUBB2B;ARPC2,55 (55),0.127,0.798,0,,1 (1),1,1,0.39,0.757
IL-1 signaling pathway,Wikipathways,5,PELI1;SQSTM1;IRAK3;PRKCZ;MAP3K3,55 (55),0.127,0.798,0,,1 (1),1,1,0.39,0.757
Copper homeostasis,Wikipathways,5,CASP3;PIK3CA;XAF1;FOXO1;MDM2,55 (55),0.127,0.798,0,,1 (2),1,1,0.39,0.757
Microglia Pathogen Phagocytosis Pathway,Wikipathways,4,PLCG2;NCF2;PIK3CA;PIK3CG,40 (40),0.128,0.798,0,,2 (2),1,1,0.39,0.757
Valproic Acid Metabolism Pathway,SMPDB,1,EHHADH,11 (11),0.422,1,1,HMDB00295,25 (31),0.304,1,0.391,0.757
il-10 anti-inflammatory signaling pathway,BioCarta,2,IL10;JAK1,13 (13),0.129,0.798,0,,4 (4),1,1,0.393,0.757
effects of calcineurin in keratinocyte differentiation,BioCarta,2,PRKCA;PPP3CC,13 (13),0.129,0.798,0,,2 (3),1,1,0.393,0.757
trka receptor signaling pathway,BioCarta,2,PIK3CA;PRKCA,13 (13),0.129,0.798,0,,1 (1),1,1,0.393,0.757
Lysine Degradation,SMPDB,2,ALDH7A1;DHTKD1,13 (13),0.129,0.798,0,,27 (27),1,1,0.393,0.757
Hyperlysinemia I_ Familial,SMPDB,2,ALDH7A1;DHTKD1,13 (13),0.129,0.798,0,,27 (27),1,1,0.393,0.757
2-aminoadipic 2-oxoadipic aciduria,SMPDB,2,ALDH7A1;DHTKD1,13 (13),0.129,0.798,0,,27 (27),1,1,0.393,0.757
Pyridoxine dependency with seizures,SMPDB,2,ALDH7A1;DHTKD1,13 (13),0.129,0.798,0,,27 (27),1,1,0.393,0.757
Saccharopinuria/Hyperlysinemia II,SMPDB,2,ALDH7A1;DHTKD1,13 (13),0.129,0.798,0,,27 (27),1,1,0.393,0.757
sarcosine oncometabolite pathway ,SMPDB,2,ALDH7A1;SLC44A1,13 (13),0.129,0.798,0,,26 (26),1,1,0.393,0.757
Glutaric Aciduria Type I,SMPDB,2,ALDH7A1;DHTKD1,13 (13),0.129,0.798,0,,27 (27),1,1,0.393,0.757
Hyperlysinemia II or Saccharopinuria,SMPDB,2,ALDH7A1;DHTKD1,13 (13),0.129,0.798,0,,27 (27),1,1,0.393,0.757
AMPK signaling pathway - Homo sapiens (human),KEGG,9,FOXO1;PIK3CA;AKT3;LEPR;IRS2;IGF1R;INSR;CREB3L2;PRKAG2,120 (120),0.129,0.798,0,,20 (23),1,1,0.394,0.757
MyD88 cascade initiated on plasma membrane,Reactome,7,MAPK11;PELI1;MEF2C;ATF1;RPS6KA2;RPS6KA3;TLR5,87 (87),0.13,0.798,0,,4 (9),1,1,0.394,0.757
Toll Like Receptor 10 (TLR10) Cascade,Reactome,7,MAPK11;PELI1;MEF2C;ATF1;RPS6KA2;RPS6KA3;TLR5,87 (87),0.13,0.798,0,,4 (9),1,1,0.394,0.757
Toll Like Receptor 5 (TLR5) Cascade,Reactome,7,MAPK11;PELI1;MEF2C;ATF1;RPS6KA2;RPS6KA3;TLR5,87 (87),0.13,0.798,0,,4 (9),1,1,0.394,0.757
signaling pathway from g-protein families,BioCarta,3,PRKCA;PPP3CC;RPS6KA3,26 (26),0.13,0.798,0,,3 (3),1,1,0.395,0.757
Insulin receptor recycling,Reactome,3,ATP6V1E1;INSR;ATP6V0A1,26 (26),0.13,0.798,0,,1 (2),1,1,0.395,0.757
Metal ion SLC transporters,Reactome,3,CP;SLC40A1;SLC39A4,26 (26),0.13,0.798,0,,5 (7),1,1,0.395,0.757
links between pyk2 and map kinases,BioCarta,3,PRKCA;BCAR1;PAK1,26 (26),0.13,0.798,0,,2 (2),1,1,0.395,0.757
Basigin interactions,Reactome,3,SLC3A2;ITGA3;ATP1B3,26 (27),0.13,0.798,0,,1 (1),1,1,0.395,0.757
Late Phase of HIV Life Cycle,Reactome,3,GTF2A1;CHMP5;TAF7,141 (143),0.97,1,1,HMDB01201,10 (10),0.134,0.545,0.396,0.758
Morphine Action Pathway,SMPDB,2,PDIA4;ATP1B3,44 (44),0.637,1,1,HMDB00295,16 (16),0.206,0.755,0.398,0.762
Bile acid biosynthesis,EHMN,4,ALDH3A2;EHHADH;ACOT7;ALDH7A1,53 (53),0.256,1,1,HMDB00658#HMDB10370,50 (55),0.517,1,0.4,0.765
Arachidonic acid metabolism,EHMN,2,PLA2G12A;ALOX12,99 (101),0.957,1,2,HMDB01043;HMDB08048#HMDB08036#HMDB08038,46 (53),0.139,0.563,0.402,0.767
Plasma lipoprotein assembly,Reactome,0,,19 (19),1,1,1,HMDB00658#HMDB10370,10 (11),0.134,0.545,0.404,0.767
Codeine Metabolism Pathway,SMPDB,0,,4 (4),1,1,1,HMDB00295,10 (12),0.134,0.545,0.404,0.767
FMO oxidises nucleophiles,Reactome,0,,3 (3),1,1,1,HMDB00925,10 (13),0.134,0.545,0.404,0.767
Miscellaneous substrates,Reactome,0,,12 (14),1,1,1,HMDB01043,10 (15),0.134,0.545,0.404,0.767
Biosynthesis of electrophilic ?-3 PUFA oxo-derivatives,Reactome,0,,2 (2),1,1,1,HMDB01999,10 (27),0.134,0.545,0.404,0.767
Biosynthesis of E-series 18(S)-resolvins,Reactome,0,,5 (5),1,1,1,HMDB01999,10 (19),0.134,0.545,0.404,0.767
melatonin degradation I,HumanCyc,0,,12 (12),1,1,1,HMDB00295,10 (13),0.134,0.545,0.404,0.767
purine deoxyribonucleosides salvage,HumanCyc,0,,13 (13),1,1,1,HMDB01044,10 (11),0.134,0.545,0.404,0.767
Celecoxib Metabolism Pathway,SMPDB,0,,8 (8),1,1,1,HMDB00295,10 (11),0.134,0.545,0.404,0.767
Pathogenic Escherichia coli infection,Wikipathways,5,PRKCA;LY96;TLR5;ARPC2;TUBB2B,56 (56),0.135,0.811,0,,1 (1),1,1,0.405,0.768
Androgen Receptor Network in Prostate Cancer,Wikipathways,6,PAK1;PIK3CA;NDRG1;ATF1;RAP1B;HGF,72 (72),0.136,0.811,0,,12 (12),1,1,0.408,0.771
Oxygen-dependent asparagine hydroxylation of Hypoxia-inducible Factor Alpha,Reactome,1,EPAS1,3 (3),0.139,0.811,0,,4 (4),1,1,0.413,0.771
PERK regulates gene expression,Reactome,1,EIF2AK3,3 (3),0.139,0.811,0,,2 (2),1,1,0.413,0.771
glutamate dependent acid resistance,HumanCyc,1,GLUL,3 (3),0.139,0.811,0,,3 (4),1,1,0.413,0.771
1D-<i>myo</i>-inositol hexakisphosphate biosynthesis V (from Ins(1_3_4)P3),HumanCyc,1,IPMK,3 (3),0.139,0.811,0,,7 (8),1,1,0.413,0.771
RHO GTPases regulate CFTR trafficking,Reactome,1,RHOQ,3 (3),0.139,0.811,0,,1 (1),1,1,0.413,0.771
Signaling by FGFR2 IIIa TM,Reactome,1,FGFR2,3 (3),0.139,0.811,0,,1 (1),1,1,0.413,0.771
Lipoic acid metabolism - Homo sapiens (human),KEGG,1,LIPT1,3 (3),0.139,0.811,0,,1 (6),1,1,0.413,0.771
taurine biosynthesis,HumanCyc,1,CSAD,3 (3),0.139,0.811,0,,10 (11),1,1,0.413,0.771
PTK6 Down-Regulation,Reactome,1,SRMS,3 (3),0.139,0.811,0,,4 (4),1,1,0.413,0.771
D-<i>myo</i>-inositol (1_4_5_6)-tetrakisphosphate biosynthesis,HumanCyc,1,IPMK,3 (3),0.139,0.811,0,,8 (9),1,1,0.413,0.771
lipoate biosynthesis and incorporation,HumanCyc,1,LIPT1,3 (3),0.139,0.811,0,,7 (8),1,1,0.413,0.771
MET activates STAT3,Reactome,1,HGF,3 (3),0.139,0.811,0,,2 (2),1,1,0.413,0.771
acetate conversion to acetyl-CoA,HumanCyc,1,ACSS1,3 (3),0.139,0.811,0,,6 (6),1,1,0.413,0.771
glutamine degradation/glutamate biosynthesis,HumanCyc,1,GLS,3 (3),0.139,0.811,0,,4 (4),1,1,0.413,0.771
Hydrolysis of LPE,Reactome,1,GPCPD1,3 (3),0.139,0.811,0,,4 (7),1,1,0.413,0.771
tetrahydrobiopterin <i>de novo</i> biosynthesis,HumanCyc,1,PTS,3 (3),0.139,0.811,0,,9 (11),1,1,0.413,0.771
fatty acid &beta;-oxidation (unsaturated_ odd number),HumanCyc,1,EHHADH,3 (3),0.139,0.811,0,,8 (10),1,1,0.413,0.771
c-src mediated regulation of Cx43 function and closure of gap junctions,Reactome,1,GJA1,3 (3),0.139,0.811,0,,2 (2),1,1,0.413,0.771
Regulation of gap junction activity,Reactome,1,GJA1,3 (3),0.139,0.811,0,,2 (2),1,1,0.413,0.771
Hedgehog _off_ state,Wikipathways,1,PTCH1,3 (3),0.139,0.811,0,,6 (6),1,1,0.413,0.771
D-<i>myo</i>-inositol (1_4_5)-trisphosphate biosynthesis,HumanCyc,3,PLCG2;PLCD3;PLCB4,27 (27),0.141,0.818,0,,7 (13),1,1,0.418,0.779
VEGFR2 mediated vascular permeability,Reactome,3,AKT3;PAK1;PRR5,27 (27),0.141,0.818,0,,17 (17),1,1,0.418,0.779
C-type lectin receptors (CLRs),Reactome,3,PLCG2;PAK1;ITPR2,83 (83),0.775,1,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,14 (18),0.183,0.686,0.419,0.78
IL-4 Signaling Pathway,Wikipathways,5,MAPK11;STAT1;PIK3CA;JAK1;IRS2,54 (54),0.12,0.781,0,,0 (0),1,1,0.12,0.781
Phenytoin (Antiarrhythmic) Action Pathway,SMPDB,4,CACNA1H;SNTB1;ATP1B3;PDIA4,82 (82),0.568,1,1,HMDB00295,20 (21),0.251,0.889,0.421,0.783
Signaling by NOTCH1,Reactome,6,DNER;TBL1XR1;APH1B;NCOR1;TLE4;MAML2,73 (74),0.143,0.826,0,,3 (3),1,1,0.421,0.783
Cell-Cell communication,Reactome,9,F11R;PIK3CA;MPP5;ARHGEF6;SDK2;CLDN7;CD2AP;LIMS1;CASK,123 (124),0.144,0.83,0,,3 (3),1,1,0.423,0.786
Phenylalanine metabolism - Homo sapiens (human),KEGG,0,,17 (17),1,1,2,HMDB00158;HMDB00159,47 (72),0.144,0.579,0.423,0.786
PI Metabolism,Wikipathways,0,,0 (0),1,1,1,HMDB08048#HMDB08036#HMDB08038,17 (29),0.218,0.788,0.218,0.788
Sialic acid metabolism,Wikipathways,0,,0 (0),1,1,1,HMDB00295,17 (27),0.218,0.788,0.218,0.788
Hair Follicle Development- Induction (Part 1 of 3),Wikipathways,4,BMPR1A;FGFR2;WNT10A;PTCH1,42 (42),0.145,0.833,0,,2 (2),1,1,0.426,0.789
Spry regulation of FGF signaling,Reactome,2,BRAF;MKNK1,14 (14),0.146,0.833,0,,3 (3),1,1,0.427,0.789
Bile salt and organic anion SLC transporters,Reactome,2,EMB;SLC13A5,14 (14),0.146,0.833,0,,14 (17),1,1,0.427,0.789
Regulation of IFNG signaling,Reactome,2,JAK1;STAT1,14 (14),0.146,0.833,0,,2 (3),1,1,0.427,0.789
Ras signaling in the CD4+ TCR pathway,PID,2,BRAF;PRKCA,14 (14),0.146,0.833,0,,1 (1),1,1,0.427,0.789
Synthesis of IP2_ IP_ and Ins in the cytosol,Reactome,2,INPP1;INPP4B,14 (14),0.146,0.833,0,,17 (18),1,1,0.427,0.789
Biosynthesis of EPA-derived SPMs,Reactome,0,,6 (6),1,1,1,HMDB01999,11 (27),0.147,0.579,0.428,0.79
Tramadol Metabolism Pathway,SMPDB,0,,7 (7),1,1,1,HMDB00295,11 (12),0.147,0.579,0.428,0.79
PTEN Regulation,Wikipathways,0,,1 (1),1,1,1,HMDB01201,11 (11),0.147,0.579,0.428,0.79
